10.0 
20.0 
0.0 
0.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
20.0 
20.0 
20.0 
10.0 
0.0 
0.0 
0.0 
20.0 
20.0 
20.0 
20.0 
10.0 
10.0 
10.0 
0.0 
10.0 
20.0 
20.0 
20.0 
20.0 
10.0 
10.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
20.0 
10.0 
10.0 
10.0 
0.0 
10.0 
10.0 
10.0 
20.0 
20.0 
10.0 
10.0 
0.0 
0.0 
10.0 
10.0 
20.0 
20.0 
20.0 
10.0 
0.0 
0.0 
10.0 
20.0 
20.0 
10.0 
0.0 
20.0 
0.0 
 
5.668 
25.668 
10.0 
0.0 
0.0 
0.0 
5.668 
15.668 
15.668 
15.668 
15.668 
15.668 
15.668 
10.0 
10.0 
20.0 
25.668 
25.668 
15.668 
15.668 
15.668 
15.668 
5.668 
15.668 
15.668 
25.668 
20.0 
20.0 
20.0 
10.0 
10.0 
0.0 
15.668 
25.668 
15.668 
15.668 
15.668 
15.668 
5.668 
5.668 
10.0 
15.668 
15.668 
25.668 
25.668 
15.668 
5.668 
5.668 
5.668 
15.668 
15.668 
25.668 
25.668 
25.668 
25.668 
15.668 
15.668 
20.0 
15.668 
15.668 
0.0 
10.0 
25.668 
10.0 
0.0 
 
0.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
0.0 
0.0 
0.0 
10.0 
0.0 
0.0 
0.0 
 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
10.0 
10.0 
0.0 
0.0 
0.0 
0.0 
 
10.0 
0.0 
0.0 
20.0 
20.0 
10.0 
0.0 
0.0 
10.0 
10.0 
10.0 
0.0 
0.0 
0.0 
10.0 
10.0 
10.0 
20.0 
20.0 
10.0 
10.0 
0.0 
0.0 
20.0 
20.0 
20.0 
20.0 
20.0 
20.0 
20.0 
20.0 
20.0 
10.0 
10.0 
20.0 
20.0 
0.0 
0.0 
0.0 
0.0 
0.0 
10.0 
10.0 
20.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
10.0 
10.0 
10.0 
10.0 
10.0 
10.0 
0.0 
0.0 
10.0 
20.0 
10.0 
10.0 
10.0 
 
